brand,img_link,kw,link,o_price,s_price,title
ROMANTIC CROWN,https://image.msscdn.net/images/goods_img/20210215/1793069/1793069_2_500.jpg,,https://store.musinsa.com/app/goods/1793069,"68,000","61,200",클래식 체크 피케 셔츠_네이비
ROMANTIC CROWN,https://image.msscdn.net/images/goods_img/20210215/1793083/1793083_2_500.jpg,,https://store.musinsa.com/app/goods/1793083,"82,000","73,800",숄 카라 니트_오트밀
ROMANTIC CROWN,https://image.msscdn.net/images/goods_img/20210215/1793082/1793082_2_500.jpg,,https://store.musinsa.com/app/goods/1793082,"82,000","73,800",숄 카라 니트_네이비
BLANK ROOM,https://image.msscdn.net/images/goods_img/20180911/855195/855195_2_500.jpg,"#긴팔,#긴팔티,#미니멀,#셔츠,#원버튼,#카라티,#티셔츠",https://store.musinsa.com/app/goods/855195,"43,000","40,850",원버튼 더블 피케 티_블랙
ROMANTIC CROWN,https://image.msscdn.net/images/goods_img/20210215/1793078/1793078_2_500.jpg,,https://store.musinsa.com/app/goods/1793078,"78,000","70,200",콘트라스트 니트 폴로_그린
ROMANTIC CROWN,https://image.msscdn.net/images/goods_img/20210215/1793070/1793070_2_500.jpg,,https://store.musinsa.com/app/goods/1793070,"68,000","61,200",클래식 체크 피케 셔츠_오트밀
ROMANTIC CROWN,https://image.msscdn.net/images/goods_img/20210215/1793079/1793079_2_500.jpg,,https://store.musinsa.com/app/goods/1793079,"78,000","70,200",콘트라스트 니트 폴로_베이지
SUARE,https://image.msscdn.net/images/goods_img/20210223/1809949/1809949_1_500.jpg,,https://store.musinsa.com/app/goods/1809949,"104,000","78,000",린넨 카라 니트 세트
RENOMA GOLF,https://image.msscdn.net/images/goods_img/20210223/1809020/1809020_1_500.jpg,,https://store.musinsa.com/app/goods/1809020,"169,000","169,000",21SS 남성 소재 믹스 배색 카라 티셔츠 RMTYK1105-199_G
RENOMA GOLF,https://image.msscdn.net/images/goods_img/20210223/1808993/1808993_1_500.jpg,,https://store.musinsa.com/app/goods/1808993,"179,000","179,000",21SS 여성 사선 지퍼 카라 배색 티셔츠 RWTHK5154-199_G
RENOMA GOLF,https://image.msscdn.net/images/goods_img/20210223/1809011/1809011_1_500.jpg,,https://store.musinsa.com/app/goods/1809011,"149,000","149,000",21SS 남성 앞판 가로 프린트 포인트 카라 티셔츠 RMTYK1153-199_G
SGF67,https://image.msscdn.net/images/goods_img/20210223/1809399/1809399_1_500.jpg,,https://store.musinsa.com/app/goods/1809399,"49,900","49,900",남성 베이직 긴팔 로고 카라 티셔츠 그레이 (SDY130236)
RENOMA GOLF,https://image.msscdn.net/images/goods_img/20210223/1809007/1809007_1_500.jpg,,https://store.musinsa.com/app/goods/1809007,"159,000","159,000",21SS 남성 앞판 패턴포인트 카라 티셔츠 RMTYK1155-199_G
RENOMA GOLF,https://image.msscdn.net/images/goods_img/20210223/1809009/1809009_1_500.jpg,,https://store.musinsa.com/app/goods/1809009,"159,000","159,000",21SS 남성 앞판 패턴포인트 카라 티셔츠 RMTYK1155-101_G
RENOMA GOLF,https://image.msscdn.net/images/goods_img/20210223/1808992/1808992_1_500.jpg,,https://store.musinsa.com/app/goods/1808992,"149,000","149,000",21SS 여성 S라인 절개 카라 긴팔 티셔츠 RWTYK5155-210_G
RENOMA GOLF,https://image.msscdn.net/images/goods_img/20210223/1809018/1809018_1_500.jpg,,https://store.musinsa.com/app/goods/1809018,"139,000","139,000",21SS 남성 어깨 포인트 카라 티셔츠 RMTYK1151-101_G
IMPERIAL,https://image.msscdn.net/images/goods_img/20210215/1793654/1793654_1_500.jpg,,https://store.musinsa.com/app/goods/1793654,"39,900","39,900",남성 플라워패턴 메쉬 티셔츠 핑크 (I0Y121073)
IMPERIAL,https://image.msscdn.net/images/goods_img/20210215/1793655/1793655_1_500.jpg,,https://store.musinsa.com/app/goods/1793655,"39,900","39,900",남성 플라워패턴 메쉬 티셔츠 네이비 (I0Y121049)
IMPERIAL,https://image.msscdn.net/images/goods_img/20210215/1793681/1793681_1_500.jpg,,https://store.musinsa.com/app/goods/1793681,"39,900","39,900",남성 RCP잔패턴프린트티 그레이 (ITY120234)
IMPERIAL,https://image.msscdn.net/images/goods_img/20210215/1793666/1793666_1_500.jpg,,https://store.musinsa.com/app/goods/1793666,"39,900","39,900",남성 냉감잔피다제에리티셔츠 다크그레이(ITY120137)
IMPERIAL,https://image.msscdn.net/images/goods_img/20210215/1793667/1793667_1_500.jpg,,https://store.musinsa.com/app/goods/1793667,"29,900","29,900",남성 여름 스트라이프 티셔츠 그레이(INY120534)
IMPERIAL,https://image.msscdn.net/images/goods_img/20210215/1793719/1793719_1_500.jpg,,https://store.musinsa.com/app/goods/1793719,"29,900","29,900",남성 여름기본솔리드티셔츠 (I0Y120143)
IMPERIAL,https://image.msscdn.net/images/goods_img/20210215/1793659/1793659_1_500.jpg,,https://store.musinsa.com/app/goods/1793659,"39,900","39,900",남성 메쉬소재 스포티 티셔츠 화이트 (I0Y120231)
IMPERIAL,https://image.msscdn.net/images/goods_img/20210215/1793671/1793671_1_500.jpg,,https://store.musinsa.com/app/goods/1793671,"29,900","29,900",남성 여름 스트라이프 티셔츠(INY120534)
IMPERIAL,https://image.msscdn.net/images/goods_img/20210215/1793688/1793688_1_500.jpg,,https://store.musinsa.com/app/goods/1793688,"39,900","39,900",남성 메쉬 자가드 티셔츠 레드 (INY120176)
IMPERIAL,https://image.msscdn.net/images/goods_img/20210215/1793651/1793651_1_500.jpg,,https://store.musinsa.com/app/goods/1793651,"29,900","29,900",남성 폴리스판 스포티 티셔츠 화이트 (INY120231)
IMPERIAL,https://image.msscdn.net/images/goods_img/20210215/1793665/1793665_1_500.jpg,,https://store.musinsa.com/app/goods/1793665,"39,900","39,900",남성 냉감잔피다제에리티셔츠 레드(ITY120176)
IMPERIAL,https://image.msscdn.net/images/goods_img/20210215/1793717/1793717_1_500.jpg,,https://store.musinsa.com/app/goods/1793717,"29,900","29,900",남성 여름기본솔리드티셔츠 (I0Y120149)
IMPERIAL,https://image.msscdn.net/images/goods_img/20210215/1793678/1793678_1_500.jpg,,https://store.musinsa.com/app/goods/1793678,"29,900","29,900",남성 멀티톤잔단가라라운드 핑크 (ITY120373)
IMPERIAL,https://image.msscdn.net/images/goods_img/20210215/1793657/1793657_1_500.jpg,,https://store.musinsa.com/app/goods/1793657,"39,900","39,900",남성 폴리스판 프린트 티셔츠 그린 (I0Y120322)
IMPERIAL,https://image.msscdn.net/images/goods_img/20210215/1793686/1793686_1_500.jpg,,https://store.musinsa.com/app/goods/1793686,"29,900","29,900",남성 변형라글란소매배색티셔츠 라이트그린 (INY120221)
IMPERIAL,https://image.msscdn.net/images/goods_img/20210215/1793650/1793650_1_500.jpg,,https://store.musinsa.com/app/goods/1793650,"29,900","29,900",남성 폴리스판 스포티 티셔츠 화이트 (INY120431)
IMPERIAL,https://image.msscdn.net/images/goods_img/20210215/1793314/1793314_1_500.jpg,,https://store.musinsa.com/app/goods/1793314,"29,000","29,000",남성 싱글 카라티셔츠 핑크 (ISZ130173)
IMPERIAL,https://image.msscdn.net/images/goods_img/20210215/1793285/1793285_1_500.jpg,,https://store.musinsa.com/app/goods/1793285,"29,000","29,000",남성 솔리드 카라 포켓 티셔츠 딥핑크 (ISZ141574)
IMPERIAL,https://image.msscdn.net/images/goods_img/20210215/1793292/1793292_1_500.jpg,,https://store.musinsa.com/app/goods/1793292,"29,000","29,000",남성 기모 스트라이프 카라티셔츠 와인 (ISZ141479)
IMPERIAL,https://image.msscdn.net/images/goods_img/20210215/1793364/1793364_1_500.jpg,,https://store.musinsa.com/app/goods/1793364,"39,000","39,000",남성 요꼬프린트포인트티셔츠 (I0Z110276)
BEANPOLE MEN,https://image.msscdn.net/images/goods_img/20210215/1792555/1792555_1_500.jpg,,https://store.musinsa.com/app/goods/1792555,"109,000","109,000",[GREEN BEANPOLE] Unisex 카키 피케 라인 칼라 티셔츠 (BC1342N03H)
IMPERIAL,https://image.msscdn.net/images/goods_img/20210215/1793619/1793619_1_500.jpg,,https://store.musinsa.com/app/goods/1793619,"49,000","49,000",남성 멀티 스트라이프 카라 티셔츠 네이비 (I0Z110449)
IMPERIAL,https://image.msscdn.net/images/goods_img/20210215/1793289/1793289_1_500.jpg,,https://store.musinsa.com/app/goods/1793289,"29,000","29,000",남성 솔리드 카라 포켓 티셔츠 블랙 (ISZ141539)
IMPERIAL,https://image.msscdn.net/images/goods_img/20210215/1793602/1793602_1_500.jpg,,https://store.musinsa.com/app/goods/1793602,"59,000","59,000",남성 투톤 스트라이프 카라 티셔츠 네이비 (I0Z130849)
BEANPOLE MEN,https://image.msscdn.net/images/goods_img/20210215/1792554/1792554_1_500.jpg,,https://store.musinsa.com/app/goods/1792554,"109,000","109,000",[GREEN BEANPOLE] Unisex 화이트 피케 라인 칼라 티셔츠 (BC1342N031)
IMPERIAL,https://image.msscdn.net/images/goods_img/20210215/1793620/1793620_1_500.jpg,,https://store.musinsa.com/app/goods/1793620,"49,000","49,000",남성 에어플레인 프린트 카라 티셔츠 머스타드 (I0Z110764)
IMPERIAL,https://image.msscdn.net/images/goods_img/20210215/1793623/1793623_1_500.jpg,,https://store.musinsa.com/app/goods/1793623,"49,000","49,000",남성 아가일 라인 체크 카라티셔츠 네이비 (INZ110149)
IMPERIAL,https://image.msscdn.net/images/goods_img/20210215/1793625/1793625_1_500.jpg,,https://store.musinsa.com/app/goods/1793625,"49,000","49,000",남성 스트라이프 카라 티셔츠 그린 (ITZ110322)
IMPERIAL,https://image.msscdn.net/images/goods_img/20210215/1793591/1793591_1_500.jpg,,https://store.musinsa.com/app/goods/1793591,"39,900","39,900",남성 스트라이프 스포티 티셔츠 네이비 (I0Y110349)
SGF67,https://image.msscdn.net/images/goods_img/20210223/1809393/1809393_1_500.jpg,,https://store.musinsa.com/app/goods/1809393,"39,000","39,000",남성 캐쥬얼 기본 긴팔 카라 티셔츠 핑크 (SMX130272)
BEANPOLE MEN,https://image.msscdn.net/images/goods_img/20210216/1796538/1796538_1_500.jpg,,https://store.musinsa.com/app/goods/1796538,"139,000","139,000",[890311] 로열 블루 자수 포인트 피케 티셔츠 (BC1242S86N)
LAB12,https://image.msscdn.net/images/goods_img/20190430/1031257/1031257_5_500.jpg,"#반팔PK티셔츠,#카라티셔츠,#PK티셔츠",https://store.musinsa.com/app/goods/1031257,"35,000","31,500",21S/S 오버핏 피케티셔츠 (카키)
AD HOC,https://image.msscdn.net/images/goods_img/20210216/1796298/1796298_1_500.jpg,,https://store.musinsa.com/app/goods/1796298,"29,000","29,000",남성 메쉬본딩 오픈카라 티셔츠 (HW4ST13)
FRANCO FERRARO,https://image.msscdn.net/images/goods_img/20210216/1796392/1796392_1_500.jpg,,https://store.musinsa.com/app/goods/1796392,"138,000","39,900",남성 S/S용 폴리스판 스트라이프 티셔츠 (ASY110243)
FRANCO FERRARO,https://image.msscdn.net/images/goods_img/20210216/1795966/1795966_1_500.jpg,,https://store.musinsa.com/app/goods/1795966,"39,000","39,000",남성 사선패턴 티셔츠 퍼플 (A0Y137184)
BEANPOLE MEN,https://image.msscdn.net/images/goods_img/20210216/1796535/1796535_1_500.jpg,,https://store.musinsa.com/app/goods/1796535,"139,000","139,000",[890311] 오렌지 자수 포인트 피케 티셔츠 (BC1242S848)
BEANPOLE MEN,https://image.msscdn.net/images/goods_img/20210216/1796536/1796536_1_500.jpg,,https://store.musinsa.com/app/goods/1796536,"139,000","139,000",[890311] 그린 자수 포인트 피케 티셔츠 (BC1242S85M)
FRANCO FERRARO,https://image.msscdn.net/images/goods_img/20210216/1796700/1796700_1_500.jpg,,https://store.musinsa.com/app/goods/1796700,"59,900","59,900",남성 면혼방 캐주얼 티셔츠 라이트블루 (ASZ110141)
FRANCO FERRARO,https://image.msscdn.net/images/goods_img/20210216/1796702/1796702_1_500.jpg,,https://store.musinsa.com/app/goods/1796702,"59,900","59,900",남성 매쉬 티셔츠 그레이 (ASZ110235)
BEANPOLE GOLF,https://image.msscdn.net/images/goods_img/20210217/1797532/1797532_1_500.jpg,,https://store.musinsa.com/app/goods/1797532,"179,000","179,000",여성 아이보리 배색 칼라 반집업 티셔츠 (BJ1342A140)
LECOQ GOLF,https://image.msscdn.net/images/goods_img/20210217/1798793/1798793_1_500.jpg,,https://store.musinsa.com/app/goods/1798793,"168,000","168,000",남성 기하학 패턴 긴팔 티셔츠
BEANPOLE GOLF,https://image.msscdn.net/images/goods_img/20210217/1797535/1797535_1_500.jpg,,https://store.musinsa.com/app/goods/1797535,"179,000","179,000",여성 아이보리 우븐 믹스 스트링 칼라 티셔츠 (BJ1342A160)
BEANPOLE GOLF,https://image.msscdn.net/images/goods_img/20210217/1797534/1797534_1_500.jpg,,https://store.musinsa.com/app/goods/1797534,"179,000","179,000",여성 아이보리 하트 올오버 칼라 티셔츠 (BJ1342A150)
LECOQ GOLF,https://image.msscdn.net/images/goods_img/20210218/1800419/1800419_1_500.jpg,,https://store.musinsa.com/app/goods/1800419,"148,000","148,000",남성 소매 배색 냉감 반팔 티셔츠
LAB12,https://image.msscdn.net/images/goods_img/20190430/1031256/1031256_4_500.jpg,"#반팔PK티셔츠,#카라티셔츠,#PK티셔츠",https://store.musinsa.com/app/goods/1031256,"35,000","31,500",21S/S 오버핏 피케티셔츠 (베이지)
LECOQ GOLF,https://image.msscdn.net/images/goods_img/20210218/1800429/1800429_1_500.jpg,,https://store.musinsa.com/app/goods/1800429,"138,000","138,000",여성 글리터링 7부소매 티셔츠
LAB12,https://image.msscdn.net/images/goods_img/20210218/1801112/1801112_1_500.jpg,"#폴로,#카라티셔츠,#오픈카라,#폴로티,#카라,#출근룩,#카라티",https://store.musinsa.com/app/goods/1801112,"35,000","31,500",21S/S 오버핏 피케티셔츠 (차콜)
SGF67,https://image.msscdn.net/images/goods_img/20210223/1809389/1809389_1_500.jpg,,https://store.musinsa.com/app/goods/1809389,"39,000","39,000",남성 바람개비 프린트 긴팔 카라 티셔츠 와인 (SSX130279)
TOMMY HILFIGER,https://image.msscdn.net/images/goods_img/20210222/1808469/1808469_1_500.jpg,,https://store.musinsa.com/app/goods/1808469,"148,000","148,000",코튼 토널 블록 폴로 티셔츠 (T12B1TKT430MT10F4)
LAB12,https://image.msscdn.net/images/goods_img/20210218/1801114/1801114_1_500.jpg,"#폴로,#카라티셔츠,#오픈카라,#폴로티,#카라,#출근룩,#카라티",https://store.musinsa.com/app/goods/1801114,"35,000","31,500",21S/S 오버핏 피케티셔츠 (화이트)
RENOMA GOLF,https://image.msscdn.net/images/goods_img/20210223/1809030/1809030_1_500.jpg,,https://store.musinsa.com/app/goods/1809030,"139,000","139,000",21SS 남성 전판 메쉬 소재 카라 티셔츠 RMTYK1156-101_G
DRAW FIT,https://image.msscdn.net/images/goods_img/20180424/763199/763199_6_500.jpg,"#루즈핏반팔티,#반팔,#반팔티,#오버사이즈,#오버핏반팔,#오픈카라,#카라티",https://store.musinsa.com/app/goods/763199,"42,000","37,800",오픈카라 티셔츠 [INDI BLUE]
RENOMA GOLF,https://image.msscdn.net/images/goods_img/20210223/1808991/1808991_1_500.jpg,,https://store.musinsa.com/app/goods/1808991,"149,000","149,000",21SS 여성 S라인 절개 카라 긴팔 티셔츠 RWTYK5155-199_G
MUSINSA STANDARD,https://image.msscdn.net/images/goods_img/20200407/1387953/1387953_1_500.jpg,"#긴팔티셔츠,#면티셔츠,#폴로셔츠컬렉션,#MU-T,#긴팔티",https://store.musinsa.com/app/goods/1387953,"29,900","29,900",롱 슬리브 피케 폴로 셔츠 [블랙]
LAB12,https://image.msscdn.net/images/goods_img/20210218/1801113/1801113_1_500.jpg,"#폴로,#카라티셔츠,#오픈카라,#폴로티,#카라,#출근룩,#카라티",https://store.musinsa.com/app/goods/1801113,"35,000","31,500",21S/S 오버핏 피케티셔츠 (그레이블루)
DRAW FIT,https://image.msscdn.net/images/goods_img/20190607/1066105/1066105_1_500.jpg,"#루즈핏반팔티,#반팔,#오버사이즈,#오버핏반팔티,#카라티",https://store.musinsa.com/app/goods/1066105,"42,000","37,800",오픈카라 티셔츠 [NAVY]
RENOMA GOLF,https://image.msscdn.net/images/goods_img/20210223/1809016/1809016_1_500.jpg,,https://store.musinsa.com/app/goods/1809016,"139,000","139,000",21SS 남성 어깨 포인트 카라 티셔츠 RMTYK1151-500_G
SGF67,https://image.msscdn.net/images/goods_img/20210223/1809363/1809363_1_500.jpg,,https://store.musinsa.com/app/goods/1809363,"39,000","39,000",남성 베이직 로고 피케셔츠 그레이 (SDZ140234)
RENOMA GOLF,https://image.msscdn.net/images/goods_img/20210223/1809029/1809029_1_500.jpg,,https://store.musinsa.com/app/goods/1809029,"139,000","139,000",21SS 남성 전판 메쉬 소재 카라 티셔츠 RMTYK1156-925_G
RENOMA GOLF,https://image.msscdn.net/images/goods_img/20210223/1809005/1809005_1_500.jpg,,https://store.musinsa.com/app/goods/1809005,"139,000","139,000",21SS 남성 어깨 포인트 카라 티셔츠 RMTYK1151-199_G
RENOMA GOLF,https://image.msscdn.net/images/goods_img/20210223/1809013/1809013_1_500.jpg,,https://store.musinsa.com/app/goods/1809013,"149,000","149,000",21SS 남성 앞판 가로 프린트 포인트 카라 티셔츠 RMTYK1153-101_G
RENOMA GOLF,https://image.msscdn.net/images/goods_img/20210223/1808994/1808994_1_500.jpg,,https://store.musinsa.com/app/goods/1808994,"179,000","179,000",21SS 여성 사선 지퍼 카라 배색 티셔츠 RWTHK5154-101_G
RENOMA GOLF,https://image.msscdn.net/images/goods_img/20210223/1809023/1809023_1_500.jpg,,https://store.musinsa.com/app/goods/1809023,"169,000","169,000",21SS 남성 소재 믹스 배색 카라 티셔츠 RMTYK1105-101_G
TOMMY HILFIGER,https://image.msscdn.net/images/goods_img/20210222/1808478/1808478_1_500.jpg,,https://store.musinsa.com/app/goods/1808478,"148,000","148,000",코튼 블록 스트라이프 폴로 티셔츠 (T12B1TKT420MT10A4)
TOMMY HILFIGER,https://image.msscdn.net/images/goods_img/20210222/1808447/1808447_1_500.jpg,,https://store.musinsa.com/app/goods/1808447,"138,000","138,000",코튼 슬림핏 미니 플레그 폴로 탑 (T12B0TKT020MT2TY6)
TOMMY HILFIGER,https://image.msscdn.net/images/goods_img/20210222/1808475/1808475_1_500.jpg,,https://store.musinsa.com/app/goods/1808475,"128,000","128,000",코튼 레귤러 컬러블록 폴로 티셔츠 (T12B1TKT410MT10GY)
TOMMY HILFIGER,https://image.msscdn.net/images/goods_img/20210222/1808454/1808454_1_500.jpg,,https://store.musinsa.com/app/goods/1808454,"138,000","138,000",코튼 슬림핏 미니 플레그 폴로 탑 (T12B0TKT020MT2V9Y)
CARHARTT,https://image.msscdn.net/images/goods_img/20170502/549157/549157_1_500.jpg,"3,499건",https://store.musinsa.com/app/goods/549157,"79,000","39,900",폴로티 블랙 / K570-001
TOMMY HILFIGER,https://image.msscdn.net/images/goods_img/20210222/1808439/1808439_1_500.jpg,,https://store.musinsa.com/app/goods/1808439,"128,000","128,000",코튼 레귤러핏 베이직 폴로 티셔츠 (T12B0TKT01CMT2DW5)
TOMMY HILFIGER,https://image.msscdn.net/images/goods_img/20210222/1808463/1808463_1_500.jpg,,https://store.musinsa.com/app/goods/1808463,"138,000","138,000",코튼 레귤러핏 솔리드 폴로 티셔츠 (T12B0TKT020MT2C9T)
LAB12,https://image.msscdn.net/images/goods_img/20190430/1031258/1031258_4_500.jpg,"#반팔PK티셔츠,#카라티셔츠,#PK티셔츠",https://store.musinsa.com/app/goods/1031258,"35,000","31,500",21S/S 오버핏 피케티셔츠 (브라운)
LAB12,https://image.msscdn.net/images/goods_img/20190430/1031260/1031260_4_500.jpg,"#반팔PK티셔츠,#카라티셔츠,#PK티셔츠",https://store.musinsa.com/app/goods/1031260,"35,000","31,500",21S/S 오버핏 피케티셔츠 (블랙)
DRAW FIT,https://image.msscdn.net/images/goods_img/20190419/1020313/1020313_1_500.jpg,"#루즈핏반팔티,#반팔,#오버사이즈,#오버핏반팔티,#카라티",https://store.musinsa.com/app/goods/1020313,"42,000","37,800",오픈카라 티셔츠 [BEIGE]
DRAW FIT,https://image.msscdn.net/images/goods_img/20180424/763197/763197_3_500.jpg,"#루즈핏반팔티,#반팔,#반팔티,#오버사이즈,#오버핏반팔,#오픈카라,#카라티",https://store.musinsa.com/app/goods/763197,"42,000","37,800",오픈카라 티셔츠 [BLACK]
